FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2015,44,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2016,27,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2017,50,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2018,48,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2019,27,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2020,189,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2021,224,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2022,47,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2023,54,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2024,160,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2015,40,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2016,61,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2017,78,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2018,40,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2019,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2020,88,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2021,418,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2022,479,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2023,1259,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,NSP,Non indicato,2024,781,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2015,52,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2016,51,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2017,68,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2018,87,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2019,93,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2020,242,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2021,388,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2022,232,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2023,314,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y_UN17,Fino a 17 anni,2024,272,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2015,496,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2016,486,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2017,500,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2018,589,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2019,672,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2020,1072,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2021,1297,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2022,1123,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2023,1419,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,Y18-24,18-24 anni,2024,1117,,
