FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,Y_PRESENCE_DISABILITY,Presenza di disabilità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2023,1901,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,0,No,2024,3652,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2015,88,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2016,87,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2017,87,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2018,95,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2019,99,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2020,314,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2021,496,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2022,264,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2023,1381,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,1,Si,2024,440,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2015,553,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2016,384,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2017,260,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2018,66,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2019,56,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2020,858,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2021,1822,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2022,1962,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2023,4410,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,2,Non indicato,2024,6383,,
A,Annuale,ITC,Nord-ovest,USERS,Utenti del 1522,F,Femmine,9,Totale,2015,4366,,
