territorio,sesso,stato_denuncia,periodo,numero_vittime
nord est,maschi,non denuncia,2021,36
nord est,maschi,non denuncia,2022,24
nord est,maschi,non denuncia,2023,42
nord est,maschi,non denuncia,2024,41
nord est,maschi,non risponde,2019,1
nord est,maschi,non risponde,2023,9
nord est,maschi,non risponde,2024,1
nord est,maschi,non disponibile,2015,6
nord est,maschi,non disponibile,2016,4
nord est,maschi,non disponibile,2017,6
nord est,maschi,non disponibile,2018,6
nord est,maschi,non disponibile,2019,2
nord est,maschi,non disponibile,2020,23
nord est,maschi,non disponibile,2021,14
nord est,maschi,non disponibile,2022,4
nord est,maschi,non disponibile,2024,1
nord est,femmine,denuncia,2015,124
nord est,femmine,denuncia,2016,127
nord est,femmine,denuncia,2017,132
nord est,femmine,denuncia,2018,158
nord est,femmine,denuncia,2019,188
nord est,femmine,denuncia,2020,221
nord est,femmine,denuncia,2021,300
nord est,femmine,denuncia,2022,250
nord est,femmine,denuncia,2023,296
nord est,femmine,denuncia,2024,369
nord est,femmine,ritira la denuncia,2015,37
nord est,femmine,ritira la denuncia,2016,43
nord est,femmine,ritira la denuncia,2017,25
nord est,femmine,ritira la denuncia,2018,37
nord est,femmine,ritira la denuncia,2019,40
nord est,femmine,ritira la denuncia,2020,25
nord est,femmine,ritira la denuncia,2021,47
nord est,femmine,ritira la denuncia,2022,57
nord est,femmine,ritira la denuncia,2023,45
nord est,femmine,ritira la denuncia,2024,91
nord est,femmine,non denuncia,2015,803
nord est,femmine,non denuncia,2016,778
nord est,femmine,non denuncia,2017,748
nord est,femmine,non denuncia,2018,958
nord est,femmine,non denuncia,2019,859
nord est,femmine,non denuncia,2020,1307
nord est,femmine,non denuncia,2021,1564
nord est,femmine,non denuncia,2022,1276
nord est,femmine,non denuncia,2023,1622
nord est,femmine,non denuncia,2024,2355
nord est,femmine,non risponde,2015,11
nord est,femmine,non risponde,2016,8
nord est,femmine,non risponde,2017,7
nord est,femmine,non risponde,2018,6
nord est,femmine,non risponde,2019,4
nord est,femmine,non risponde,2020,18
nord est,femmine,non risponde,2021,27
nord est,femmine,non risponde,2022,21
nord est,femmine,non risponde,2023,188
nord est,femmine,non risponde,2024,152
nord est,femmine,non disponibile,2015,51
nord est,femmine,non disponibile,2016,53
nord est,femmine,non disponibile,2017,63
nord est,femmine,non disponibile,2018,96
nord est,femmine,non disponibile,2019,105
nord est,femmine,non disponibile,2020,434
nord est,femmine,non disponibile,2021,340
nord est,femmine,non disponibile,2022,98
nord est,femmine,non disponibile,2023,24
nord est,femmine,non disponibile,2024,45
nord est,non indicato,denuncia,2023,6
nord est,non indicato,denuncia,2024,1
nord est,non indicato,non denuncia,2023,1
nord est,non indicato,non denuncia,2024,10
nord est,non indicato,non risponde,2023,7
nord est,non indicato,non risponde,2024,2
nord est,non indicato,non disponibile,2023,22
nord est,non indicato,non disponibile,2024,39
trentino alto adige,maschi,denuncia,2024,1
trentino alto adige,maschi,non denuncia,2023,4
trentino alto adige,maschi,non denuncia,2024,3
trentino alto adige,maschi,non disponibile,2020,1
trentino alto adige,femmine,denuncia,2020,1
trentino alto adige,femmine,denuncia,2023,20
trentino alto adige,femmine,denuncia,2024,18
trentino alto adige,femmine,ritira la denuncia,2024,4
trentino alto adige,femmine,non denuncia,2020,2
trentino alto adige,femmine,non denuncia,2022,1
trentino alto adige,femmine,non denuncia,2023,110
trentino alto adige,femmine,non denuncia,2024,115
trentino alto adige,femmine,non risponde,2023,6
trentino alto adige,femmine,non risponde,2024,11
trentino alto adige,femmine,non disponibile,2020,3
trentino alto adige,femmine,non disponibile,2021,3
trentino alto adige,femmine,non disponibile,2023,4
trentino alto adige,femmine,non disponibile,2024,2
trentino alto adige,non indicato,denuncia,2023,1
trentino alto adige,non indicato,non risponde,2023,1
bolzano,maschi,denuncia,2015,1
bolzano,maschi,denuncia,2021,2
bolzano,maschi,non denuncia,2015,1
bolzano,maschi,non denuncia,2020,3
bolzano,maschi,non denuncia,2021,1
bolzano,maschi,non denuncia,2022,2
bolzano,maschi,non disponibile,2020,1
bolzano,femmine,denuncia,2015,2
bolzano,femmine,denuncia,2016,1
